"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Costa Rica","CRI","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Caribbean small states","CSS","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Curacao","CUW","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Czechia","CZE","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0.353038781310127","2.13532331449056","4.12415478054404","10.1458601458601","17.2052865136022","18.3666490502689","19.0661896792618","20.2100496218143","20.1200703174235","20.7426723335083","21.5279435332629","22.2250766411482","20.1898472967396","20.1338075615374","19.4559073142626","20.3918049022035","20.8185913122087","18.6391628149388","19.8682544386669","24.6568853214027","31.2403400309119","31.4178302900107","30.1814941841305","31.1353910153728","29.8208832778816","31.8758628969326","33.3300666405331","32.8183608402101","32.5931133032175","34.9810236829052","35.7466747279323","35.6362226191595","32.488864142539","","","","","","","",
"Germany","DEU","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","0","0.0189971108560573","0.0728485987572029","0.0375199324641216","0.0635867837315659","0.0682434600017498","0.149986133357482","0.667764162051371","0.873647602416135","2.19839428604507","2.10317678797555","1.89947104498409","2.75296995209335","3.23385476770526","3.70209159597811","6.28970477108685","7.00792315559426","9.68306759957095","9.79364873854286","11.1349457731734","11.9202727623622","14.0106512848032","15.899288413596","16.3719301189153","20.7293639328105","26.6330490241279","25.0068511133299","26.7170248102144","28.6633924866891","29.0046412162247","27.8404090203597","27.4770167927648","29.7568543974576","29.3358495043896","28.6941289591683","28.7325408116153","29.0573116321131","31.0811279335634","29.2634532699706","30.7674488050747","29.6351821468322","29.4396153198393","28.3256064912347","27.3457885398184","27.3381824727338","26.4785644689834","26.435995018428","22.1780346966763","23.4078943220152","22.8711485068631","22.4321438660162","17.7809653046302","15.9463090691627","15.3710037996982","15.6171515488682","14.3199259868293","","","","","","","",
"Djibouti","DJI","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","",
"Dominican Republic","DOM","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Algeria","DZA","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
"Early-demographic dividend","EAR","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0.439399414565322","0.386145551464101","0.775498652821914","0.987684196187527","1.40483280361074","1.44129111825345","0.910619367556263","1.14326005376661","1.00639041764844","0.876628957222621","0.894535251001605","0.566777777385881","0.942005400990805","1.54662743888993","1.82513988196751","2.05411241610423","1.71424133957333","1.97198299841844","1.75082819258221","1.96643856018321","2.00205917873649","1.94765081150636","1.72161440932374","1.78056799285738","2.09620251490789","2.05896202415766","2.20719468213366","2.15257415945825","2.09760326666871","2.10221098605887","2.12191902745397","2.0537037511367","1.99326665915326","1.89482300957975","1.74587623492098","1.6815501723101","1.58030369985659","1.4540493110589","1.59969614750876","1.56545993937082","1.82547144194838","1.70973215832873","1.89349179159131","1.77969836814815","0.26374168579997","","","","","","","",
"Ecuador","ECU","Electricity production from nuclear sources (% of total)","EG.ELC.NUCL.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","",
